record_id,chapter_number,exact_title,toc_title,source_dates,narrative_role,google_sites_url,status
HUFFY-CH-01,1,As Confirmed by Sugar Cayne - Then Buy Me...,As Confirmed by Sugar Cayne - Then Buy Me...,2026-04-04; 2026-04-11,Resistance becomes possibility,https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns,verified
HUFFY-CH-02,2,Brought Inside - Taken Out,Brought Inside - Taken Out,2026-04-15; 2026-04-20,Evaluation before modification,https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-2-huffy-bmx-build-campaigns,verified
HUFFY-CH-03,3,Stood Up with a Post of Authority,Stood Up with a Post of Authority,2026-04-21,Harry Leary provenance changes the project,https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-3-huffy-bmx-build-campaigns,verified
HUFFY-CH-04,4,Progress... Weight,Progress... Weight,2026-04-21; 2026-04-22,Refinement and removal,https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-4-huffy-bmx-build-campaigns,verified
HUFFY-CH-05,5,Weight Removed... A Stand Taken.... Purpose Shared,Weight Removed... A Stand Taken.... Purpose Shared,2026-04-22,Archive identity and stated purpose,https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-5-huffy-bmx-build-campaigns,verified
HUFFY-CH-06,6,Swapped & Connected,Swapped & Connected,2026-04-22; 2026-04-23; 2026-04-24,"Performance, preservation and discernment",https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-6-huffy-bmx-build-campaigns,verified
HUFFY-CH-07,7,Get a Grip,Get a Grip,2026-04-25,Physical continuity from #OperationDIRTWERX,https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-7-huffy-bmx-build-campaigns,verified
HUFFY-CH-08,8,Life Outdoors,Life Outdoors,2026-04-25; 2026-04-26,First motion and functional proof,https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-8-huffy-bmx-build-campaigns,verified
HUFFY-CH-09,9,A Week in the Life of...,Life Outdoors,2026-04-26; 2026-04-27; 2026-04-28; 2026-04-30,"Advocacy, learning and continued evolution",https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-9-huffy-bmx-build-campaigns,verified
HUFFY-CH-10,10,Keep Rollin On,Keep Rollin On,"2026-05-02; May 2026, exact submission timestamp not preserved",Mature configuration and public submission,https://sites.google.com/view/lititzbmxinventorylist/campaigns/huffybmx-build-campaigns/ch-10-huffy-bmx-build-campaigns,verified
