component,status,evidence_note
Stock 2026 Huffy HX Pro Cruiser platform,stock-retained,Foundation evaluated through use; not represented as rare or Harry Leary-owned.
Harry Leary seat,provenance-component-installed,Provided through Linda Leary Taylor; personal provenance carried into the build.
Harry Leary seat post,provenance-component-installed,Provided through Linda Leary Taylor; installed in Chapter 3.
Stock brake arms,stock-retained,Retained for visual identity and adjusted with replacement pads.
Box One brake pads,installed,Introduced and adjusted in Chapter 6.
Stock reflectors,stock-removed,Removed during weight-reduction work.
Kickstand and guard components,stock-removed,Photographed after removal; later retention status not established.
Lititz BMX Archive stem cap,installed,Introduced Chapter 5; installed Chapter 6 as archive identity marker.
Stock grips,stock-removed-destructively,Described as functional but removed to pursue a different setup goal.
Replacement Box grips,installed,Selected for consistency with the intended track-focused setup.
DIRTWERX-related outer grip clamps,provenance-component-installed,Carried forward from #OperationDIRTWERX; physical continuity between projects.
Harry-linked vintage chain,considered-not-installed,"Withheld because preservation, compatibility, reliability and intended use took priority."
OMNI headset spacers,installed,Spacer change documented as a new mechanical learning step.
Replacement wheels,introduced-status-unverified,Shown arriving in Chapter 9; final installation not established by supplied campaign evidence.
Tioga PowerBlock tires,installed-later,"Documented installed and ridden by May 2, 2026."
Orange platform pedals,installed,Visible in completed configuration and published parts list.
"Axle nuts, valve caps, bar-end plugs, titanium stem bolts, stickers",published-parts-list,Preserved from the Sugar Cayne article; installation status varies by component.
