record_id,artifact_id,source_title,source_page,source_image,inventory_source_url,source_classification
26.0133,26.0133,BMX Plus! Radical Rick Premier,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0133.png,,artifact photograph
26.0056,26.0056,Radical Rick Complete Episodes Soft Cover Proof 2 of 8,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0056.png,https://radicalrickbmx.com/collections/artwork/products/press-proof-of-book-cover?variant=41497036554326,artifact photograph
26.0041,26.0041,35 Year Supercross Damian Fulton Signed Print — Damian Fulton & Bill Ryan 27/35,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0041.png,https://radicalrickbmx.com/collections/artwork/products/rick-vs-rick-limited-edition-giclee-print,artifact photograph
26.0001,26.0001,DIRTY FEST 3 ORIGINAL PAINTING BY DAMIAN FULTON,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0001.png,https://radicalrickbmx.com/collections/artwork/products/dirty-fest-3-original-painting?variant=42419167068246,artifact photograph
26.0042,26.0042,Radical Rick 2025 New Years Drawing Original 1 of 1,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0042.png,https://radicalrickbmx.com/collections/artwork/products/new-years-2025-original-art?variant=42419155992662,artifact photograph
26.0057,26.0057,Radical Rick and Bill Allen Signed Print by Damian Fulton 57 of 100,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0057.png,https://www.instagram.com/p/DBHks0STHrL/,artifact photograph
26.0072,26.0072,Radical Rick Self Portrait 1 of 45 for Nowhere BMX,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0072.png,https://radicalrickbmx.com/collections/artwork/products/45-charity-giveaway?variant=43898664976470,artifact photograph
26.0129,26.0129,Hooligan BMX Radical Rick Figure,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0129.png,,artifact photograph
26.0130,26.0130,Hooligan BMX MX Mug Figure,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0130.png,,artifact photograph
26.0131,26.0131,Hooligan BMX Skuzzer Switchblade,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0131.png,,artifact photograph
26.0132,26.0132,Hooligan BMX - Gap Hill Speed Shop - 1/24 Radical Rick Figure & Scene,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0132.png,,artifact photograph
26.0058,26.0058,Gold Radical Rick Supercross Bobble Head,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0058.png,https://www.supercrossbmx.com/collections/bobbleheads/products/supercross-bmx-radical-rick-bmx-bobble-head,artifact photograph
campaign,,#RebuildRadicalRick Campaign,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/campaign/campaign.png,,campaign-cross-record
26.0037,26.0037,Cactus Park BMX State Qualifier “1st” Place - Radical Rick Plaque — First of the Leary Locker purchases,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/artifacts/26-0037.png,Damian Fulton Fireside BMX Chat: https://youtu.be/vtVr6GBJtlM?si=L8jdyQFYpHgkhIJ4,artifact photograph
pending,,Super Rad Artifact to Unbox,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,source/context/pending.png,,pending-accession
