record_id,name,slug,source_url,status,capture_path,text_path,notes
RIDER-001,Debbi Kalsow,debbi-kalsow,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/debbi-kalsow-rider-profiles,source_complete,riders/debbi-kalsow/source/page.png,riders/debbi-kalsow/source/PUBLISHED-TEXT.md,"The source alternates between the spellings “Kalsow” and “Kaslow.” Both are preserved in the transcription. | The Pinkbike passage is preserved as attributed source text, not independently verified by this archive record."
RIDER-002,Eric Rupe,eric-rupe,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/eric-rupe-rider-profiles,source_complete,riders/eric-rupe/source/page.png,riders/eric-rupe/source/PUBLISHED-TEXT.md,"The source’s prime-years height field is preserved exactly in the transcription; the overview renders it as approximately 5 ft 6 in. | The final “Four Fun Facts” section is explicitly identified by the source as Copilot-generated and is retained as an AI-supplied source note, not archive verification."
RIDER-003,Todd Lyons,todd-lyons,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/todd-lyons-rider-profiles,source_complete,riders/todd-lyons/source/page.png,riders/todd-lyons/source/PUBLISHED-TEXT.md,Current-residence and occupational statements are preserved as time-bound published source content. | The closing Lititz BMX podcast statement is preserved as archive commentary and linked to its recording.
RIDER-004,Clint Miller,clint-miller,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/clint-miller-rider-profiles,source_complete,riders/clint-miller/source/page.png,riders/clint-miller/source/PUBLISHED-TEXT.md,The final character assessment is preserved as an attributed Torker Racing statement.
RIDER-005,Harry Leary,harry-leary,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/harry-leary-rider-profiles,source_complete,riders/harry-leary/source/page.png,riders/harry-leary/source/PUBLISHED-TEXT.md,External-source claims are retained with their original attributions. | This rider profile is an independent learning record; it may contextually link to Harry’s Room without becoming the same catalog record.
RIDER-006,Greg Hill,greg-hill,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/greg-hill-rider-profiles,source_complete,riders/greg-hill/source/page.png,riders/greg-hill/source/PUBLISHED-TEXT.md,The parenthetical comparison to Kyle A. Huffman’s birth date is preserved as Lititz BMX curatorial context. | Current occupation and 2025 nomination language are time-bound source statements.
RIDER-007,Frank Post,frank-post,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/frank-post-rider-profiles,source_complete,riders/frank-post/source/page.png,riders/frank-post/source/PUBLISHED-TEXT.md,The RoostBMX quotation is preserved with its original spelling and punctuation. | The source spelling “amatuer” is preserved in the exact transcription and normalized only in the overview.
RIDER-008,Tommy Brackens,tommy-brackens,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/tommy-brackens-rider-profiles,source_complete,riders/tommy-brackens/source/page.png,riders/tommy-brackens/source/PUBLISHED-TEXT.md,The source lists Powerlite Racing under 1991 despite also stating retirement in 1990; both are preserved as published without silent correction. | The source’s opening character summary is explicitly marked as Copilot-generated and is not treated as archive verification.
RIDER-009,Mike Miranda,mike-miranda,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/mike-miranda-rider-profiles,source_complete,riders/mike-miranda/source/page.png,riders/mike-miranda/source/PUBLISHED-TEXT.md,"“Tommy Brackens (Twin Brother)” is archived as a satirical page device, not a factual biological relationship. | The source says Miranda turned professional on 15 February 1982, described as his “18th birthday,” although the published birth date would make him 20; the discrepancy is preserved. | The sentence about wins and style is explicitly attributed to Copilot and retained as an AI-supplied note."
RIDER-010,Michael “Mike” Poulson,mike-poulson,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/profiles/rider-profiles/mike-poulson-rider-profiles,source_complete,riders/mike-poulson/source/page.png,riders/mike-poulson/source/PUBLISHED-TEXT.md,No polished full-page profile screenshot was supplied in this intake; the preserved image is the supplied public profile/social capture. | The reported high-school earnings figure and USA BMX assessment remain source-attributed statements.
