path,source_filename,classification,record_id,sha256,size_bytes
source/pages/grid-1.png,2026-07-23_11-24-40.png,page capture,,7c0b10a7d46d66009422dc053b78be11823b67abb9dba6b08d1b2a3470073b26,1364906
source/pages/grid-2.png,2026-07-23_11-24-58.png,page capture,,441b07deafeb5065f71384b3fdbd813056e1a381d7e8a10c8d8fe60cb27a1439,724234
source/hero.jpg,unnamed (2).jpg,collection hero,,6ad59f799945865212d9971258baa1337ded6fa02d6dd77c16bc3a2d0271ccd5,139606
source/artifacts/26-0037.png,unnamed - 2026-07-23T112512.368.png,artifact image,26.0037,2ac2a176795b75d7f4c13becf40d7b454ef03032a94d40457b695935c5dbcdb8,1902005
source/context/pending.png,unnamed - 2026-07-23T112516.814.png,pending-accession context,pending,ee6b2f6a40b3eb7d913f1e0826e8c2305e3f6a8be55185c615c3a0cf40dc435a,109440
source/artifacts/26-0133.png,unnamed - 2026-07-23T112522.202.png,artifact image,26.0133,3c43113a1ee954e19a0ef9889a5e917c00b57179d1277f7d72134462b502a102,1892250
source/artifacts/26-0001.png,unnamed - 2026-07-23T112526.521.png,artifact image,26.0001,8312d982339152ab3488a3a777ac9d7f9e8a341925e1fcf5f4ca4bbe7db96d40,900800
source/artifacts/26-0042.png,unnamed - 2026-07-23T112530.451.png,artifact image,26.0042,fbf04dc07607214640a9edf7062b8447136a6854099aea400cd3e7508a046889,1046956
source/artifacts/26-0057.png,unnamed - 2026-07-23T112534.703.png,artifact image,26.0057,881530ca8eeea941f8f3138dcde3fad97118086074c280ffe84c65ca9cb2aa50,1000255
source/artifacts/26-0056.png,unnamed - 2026-07-23T112539.698.png,artifact image,26.0056,c14767d1322301f2bb9188fa5d844d1ee11af9ba77cd3fcdf209797d4c81b426,918321
source/artifacts/26-0072.png,unnamed - 2026-07-23T112543.477.png,artifact image,26.0072,4566955a27e19bddd9b3511ebc5069ec2965e605bf10f6433ac92455986843e3,1870437
source/artifacts/26-0132.png,unnamed - 2026-07-23T112547.705.png,artifact image,26.0132,13a98e714635cb27215561f4ae73af8b6f1a79bb19461d0a78419938282c6ffb,2028529
source/artifacts/26-0129.png,unnamed - 2026-07-23T112552.664.png,artifact image,26.0129,43e05d8e9707e3ec78b706d83a9c0a04d565862780c24af3e8dc52aa3c6734a3,1974654
source/artifacts/26-0130.png,unnamed - 2026-07-23T112556.270.png,artifact image,26.0130,4c77c636186cf639c2bba65b24b87a6738fde42cb7dda1f5941060ef8310b827,1919504
source/artifacts/26-0131.png,unnamed - 2026-07-23T112559.829.png,artifact image,26.0131,922e76fcdb5869b48bf4f339a68f9e4b86a2932478964eec3094b9d3b7575a23,2062742
source/artifacts/26-0041.png,unnamed - 2026-07-23T112604.283.png,artifact image,26.0041,5b5af681ee962239ea6e809202d54def81471a3aa2a19112610124442442ef07,2443898
source/artifacts/26-0058.png,unnamed - 2026-07-23T112608.970.png,artifact image,26.0058,b926c9418d41f90193466edeb407a2a5aa4140663ead50d7ba01dacce618961b,962476
source/campaign/campaign.png,unnamed - 2026-07-23T112612.723.png,campaign evidence,campaign,b4d3b0777fa781b94dd54ffe30607c1a16338360efddfc6cb4718c5e53042fb5,468080
